,Unnamed: 0,name,date,db,smartsim,smartredis,client_total,client_per_node,client_nodes,database_nodes,database_cpus,iterations,tensor_bytes,t_per_dataset,language,client_threads,client(),get_list_min,get_list_mean,get_list_max,loop_time,main()
0,0,aggregate-sess-prod-cpp-N8-T32-DBN4-ITER100-TB1024-TPD4-718a,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,4,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N32-T32-DBN16-ITER100-TB1024-TPD4-57ad,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N8-T32-DBN16-ITER100-TB1024-TPD4-CT32-34a3,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,16,36,100,1024,4,cpp,32.0,0.00207949,0.00457764,0.0049344303,0.00556087,102.251,102.255
0,0,aggregate-sess-cons-cpp-N8-T32-DBN8-ITER100-TB1024-TPD4-CT32-27b0,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,8,36,100,1024,4,cpp,32.0,0.00196385,0.00459933,0.0053643417,0.0058217,99.0349,99.0395
0,0,aggregate-sess-cons-cpp-N16-T32-DBN4-ITER100-TB1024-TPD4-CT32-f7a9,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,4,36,100,1024,4,cpp,32.0,0.00201464,0.00896549,0.0102306796,0.0118027,102.156,102.16
0,0,aggregate-sess-cons-cpp-N64-T32-DBN16-ITER100-TB1024-TPD4-CT32-4825,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,16,36,100,1024,4,cpp,32.0,0.00215697,0.0286574,0.030603479,0.0428498,119.648,119.653
0,0,aggregate-sess-cons-cpp-N32-T32-DBN8-ITER100-TB1024-TPD4-CT32-ff1f,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,8,36,100,1024,4,cpp,32.0,0.00204611,0.0148177,0.01568099,0.0212657,106.255,106.259
0,0,aggregate-sess-cons-cpp-N64-T32-DBN8-ITER100-TB1024-TPD4-CT32-b343,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,8,36,100,1024,4,cpp,32.0,0.00200319,0.0318127,0.035013168,0.0473194,107.446,107.452
0,0,aggregate-sess-prod-cpp-N4-T32-DBN16-ITER100-TB1024-TPD4-3967,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N128-T32-DBN8-ITER100-TB1024-TPD4-CT32-eb00,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,8,36,100,1024,4,cpp,32.0,0.0021739,0.067522,0.075796325,0.0923564,132.702,132.713
0,0,aggregate-sess-prod-cpp-N64-T32-DBN16-ITER100-TB1024-TPD4-1d5c,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N128-T32-DBN16-ITER100-TB1024-TPD4-8f4f,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N32-T32-DBN16-ITER100-TB1024-TPD4-CT32-01d1,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,16,36,100,1024,4,cpp,32.0,0.00229383,0.0140049,0.014981227,0.023072,132.666,132.67
0,0,aggregate-sess-prod-cpp-N32-T32-DBN4-ITER100-TB1024-TPD4-367d,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,4,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N16-T32-DBN16-ITER100-TB1024-TPD4-f618,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N128-T32-DBN4-ITER100-TB1024-TPD4-93b9,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,4,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N4-T32-DBN16-ITER100-TB1024-TPD4-CT32-b11b,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,16,36,100,1024,4,cpp,32.0,0.00250411,0.00245142,0.0028415396,0.00358272,98.5346,98.5394
0,0,aggregate-sess-prod-cpp-N4-T32-DBN4-ITER100-TB1024-TPD4-998c,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,4,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N128-T32-DBN4-ITER100-TB1024-TPD4-CT32-83f7,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,4,36,100,1024,4,cpp,32.0,0.00217676,0.0731745,0.079492489,0.101045,109.622,109.63
0,0,aggregate-sess-prod-cpp-N32-T32-DBN8-ITER100-TB1024-TPD4-ac0f,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N128-T32-DBN16-ITER100-TB1024-TPD4-CT32-2cdb,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,16,36,100,1024,4,cpp,32.0,0.00240397,0.0605285,0.064228398,0.0848908,153.183,153.19
0,0,aggregate-sess-prod-cpp-N16-T32-DBN4-ITER100-TB1024-TPD4-a0f3,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,4,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N8-T32-DBN8-ITER100-TB1024-TPD4-fed8,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N4-T32-DBN8-ITER100-TB1024-TPD4-c5bc,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N16-T32-DBN8-ITER100-TB1024-TPD4-CT32-e8e4,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,8,36,100,1024,4,cpp,32.0,0.00195312,0.00785756,0.0083320046,0.010905,104.844,104.849
0,0,aggregate-sess-prod-cpp-N64-T32-DBN4-ITER100-TB1024-TPD4-abb7,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,4,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N4-T32-DBN8-ITER100-TB1024-TPD4-CT32-621b,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,8,36,100,1024,4,cpp,32.0,0.00193167,0.00255775,0.0028903627,0.00361919,98.4977,98.5021
0,0,aggregate-sess-cons-cpp-N4-T32-DBN4-ITER100-TB1024-TPD4-CT32-ea31,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,4,36,100,1024,4,cpp,32.0,0.00193214,0.0024333,0.0031553175,0.00400448,98.6438,98.6481
0,0,aggregate-sess-cons-cpp-N32-T32-DBN4-ITER100-TB1024-TPD4-CT32-ea3b,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,4,36,100,1024,4,cpp,32.0,0.00199699,0.0162807,0.019497937,0.0243297,102.384,102.389
0,0,aggregate-sess-cons-cpp-N8-T32-DBN4-ITER100-TB1024-TPD4-CT32-2b51,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,4,36,100,1024,4,cpp,32.0,0.00233746,0.0053432,0.0058171679,0.00687671,100.816,100.821
0,0,aggregate-sess-prod-cpp-N64-T32-DBN8-ITER100-TB1024-TPD4-b3f9,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N16-T32-DBN8-ITER100-TB1024-TPD4-e0ea,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N8-T32-DBN16-ITER100-TB1024-TPD4-3fb6,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N128-T32-DBN8-ITER100-TB1024-TPD4-a5c8,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N16-T32-DBN16-ITER100-TB1024-TPD4-CT32-d406,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,16,36,100,1024,4,cpp,32.0,0.00211787,0.00770688,0.0083222819,0.0118778,113.657,113.662
0,0,aggregate-sess-cons-cpp-N64-T32-DBN4-ITER100-TB1024-TPD4-CT32-b10f,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,4,36,100,1024,4,cpp,32.0,0.00223517,0.0351758,0.0421981289999999,0.0543044,103.718,103.725
